C(Cl)Cl,0,25.925,53.7,5.28,5.28
C(Cl)(Cl)Cl,0,23.6836,77.2,7.21,7.21
CO,0,28.0436,49.8,3.5,3.5
CN(=O)=O,0,27.3401,63,4.22,4.22
CCCl,0,30.3361,18.7,1.5,1.5
CCCl,1,27.9023,39.9,3.6,3.6
C(C)(Cl)(Cl)Cl,1,28.8331,45.4,2.7,2.7
CCN(=O)=O,0,30.2511,12.4,1.55,1.55
CCN(=O)=O,1,27.1208,70.9,4.4,4.4
[SiH](C)(C)Cl,2,31.1958,1.27,0.54,0.54
C=C(Cl)Cl,0,25.6588,115.5,5.5,5.5
C(=C\Cl)/Cl,0,24.8069,120.3,6.36,6.36
C(=C(Cl)Cl)Cl,0,24.718,116.7,6.49,6.49
C(=O)C,0,21.4064,199.7,9.69,9.69
C(=O)C,2,29.2463,30.7,2.12,2.12
O1CC1,1,29.1632,39.5,2.54,2.54
S(=O)(C)C,2,29.2333,40.6,2.5,2.5
S1CC1,1,29.2471,18.7,2.27,2.27
C(=O)(Cl)C,3,28.7371,33.7,2.66,2.66
C(#N)C,2,29.6413,1.7,1.94,1.94
C1CC1,0,31.5274,-2.9,0.22,0.22
C(C)(C)Cl,0,27.2443,53.6,4.11,4.11
C(C)(C)Cl,1,30.2806,27.4,1.51,1.51
C=C(C)Cl,0,26.2176,112.63,5.12,5.12
C=C(C)Cl,2,29.5147,26.05,2.13,2.13
C=CCCl,1,25.161,134.4,5.9,5.9
C=CCCl,2,27.2297,45.1,3.99,3.99
C(=O)(C)C,2,29.3142,30.6,2.11,2.11
C1COC1,0,29.2337,22.9,2.72,2.72
C1COC1,1,26.7083,72.6,4.73,4.73
C(=O)(C)OC,2,29.3193,20.4,2,2
C(=O)(C)OC,4,27.7821,51.4,3.65,3.65
C(=O)N(C)C,0,23.4106,162.5,7.89,7.89
C(=O)N(C)C,3,29.5048,31.1,2.98,2.98
C(=O)N(C)C,4,28.9856,36.1,2.81,2.81
C(=O)(C)C(Cl)(Cl),2,28.908,21.51,2.64,2.64
CCC#N,1,29.1799,10.6,2.34,2.34
CCC#N,0,30.476,10.9,1.25,1.25
C[C@@H](C#N)Cl,1,29.8635,23.4,1.85,1.85
C[C@@H](C#N)Cl,0,26.6727,37.83,4.53,4.53
c1ccon1,0,22.9928,149.08,8.24,8.24
c1ccon1,1,24.795,103.61,6.32,6.32
c1ccon1,2,22.753,157.81,8.49,8.49
C(=C)(C)C,1,26.7074,110.57,4.6,4.6
C(=C)(C)C,2,29.8955,23.45,1.72,1.72
C1CCC1,0,29.6155,23.3,1.96,1.96
C(#CC)C,0,29.8797,3.33,1.7,1.7
C1CCC1,1,25.0854,137.2,5.95,5.95
C1CCC1,0,29.0391,30.2,2.57,2.57
CC(C)(C)Cl,2,30.0337,34.5,1.61,1.61
CC(C)(C)N(=O)=O,0,30.2847,27.8,1.61,1.61
C(=CCl)(C)C,1,25.4526,111.64,5.79,5.79
C(=CCl)(C)C,4,29.7277,22.85,1.8,1.8
C(=CCl)(C)C,3,29.7901,18.16,1.8,1.8
C1OCCC1,0,27.6831,68,3.71,3.71
C1OCCC1,3,29.6137,26,1.81,1.81
C(=O)(C)N(C)C,5,28.9205,34.8,2.83,2.83
C(=O)(C)N(C)C,4,28.2597,37.9,3.01,3.01
C(=O)(C)N(C)C,2,29.4999,21.4,1.98,1.98
C1CC(=O)C1,1,28.3501,47.8,3.08,3.08
C1CC(=O)C1,0,29.7238,9.9,2.03,2.03
C1COC(=O)C1,5,29.7238,27.7,2.31,2.31
C1COC(=O)C1,0,29.5275,22.2,2.08,2.08
C1COC(=O)C1,1,27.4708,68.6,4.38,4.38
CC(C)C#N,1,28.7717,19.87,2.7,2.7
CC(C)C#N,2,30.5385,19.98,1.3,1.3
c1ccco1,0,23.8069,142.8,7.4,7.4
c1ccco1,1,24.7759,109.7,6.3,6.3
C(=O)(C)C#C,2,29.0195,32.2,2.38,2.38
C(=O)(C)C#C,4,28.158,78.8,3.4,3.4
c1cccs1,0,23.8263,125,7.1,7.1
c1cccs1,1,24.0715,126.7,6.9,6.9
C1(=C(C(=O)OC1)Cl)Cl,5,26.6359,70.9,4.9,4.9
c1scc(C)n1,0,22.6113,152.14,8.72,8.72
c1scc(C)n1,2,24.2949,113.11,6.92,6.92
c1scc(C)n1,4,29.1752,16.77,2.5,2.5
c1ncccn1,0,22.1539,159.2,9.21,9.21
c1ncccn1,2,22.4596,157.6,8.74,8.74
c1ncccn1,3,23.7723,122.6,7.32,7.32
c1cnccn1,0,22.61,146.1,8.48,8.48
n1ccccn1,2,23.5785,127.7,7.5,7.5
n1ccccn1,1,21.9923,152.6,9.24,9.24
C1CCCC1,0,30.3149,26.5,1.5,1.5
C(=CC)(C)C,3,30.1523,17.3,1.58,1.58
C(=CC)(C)C,1,25.9673,118.8,5.12,5.12
C(=CC)(C)C,2,30.2627,13.4,1.48,1.48
C(=CC)(C)C,4,29.7333,25.6,1.58,1.58
C1CC=CC1,0,30.0296,22.98,1.85,1.85
C1CC=CC1,1,29.2627,32.59,2.29,2.29
C1CC=CC1,2,25.4126,130.77,5.66,5.66
CC(C)(C)OC,5,28.4382,49.41,3.11,3.11
CC(C)(C)OC,0,30.9662,27.06,1.12,1.12
C1CCOCC1,0,30.2064,24,1.59,1.59
C1CCOCC1,1,30.2405,27.1,1.59,1.59
C1CCOCC1,2,27.8671,68.8,3.56,3.56
C1CCN(C1)C,5,29.0404,42.9,2.34,2.34
C1CCN(C1)C,4,28.8622,56.9,2.48,2.48
C1CCN(C1)C,1,29.7845,24.6,1.78,1.78
C1CCC(=O)C1,0,29.6399,23.4,2.02,2.02
CC(C)(C)C#N,0,30.2689,28.41,1.39,1.39
C1CC=CC1=O,3,25.2235,134.37,6.09,6.09
C1CC=CC1=O,2,23.2087,165.25,7.72,7.72
C1CC=CC1=O,1,28.8707,29.03,2.69,2.69
C1CC=CC1=O,0,29.3995,34.02,2.22,2.22
c1cccn1C,5,27.9225,35.6,3.62,3.62
c1cccn1C,0,24.6108,121.6,6.57,6.57
c1cccn1C,1,25.2207,108.3,6.11,6.11
c1ccc(o1)C=O,2,23.917,121.9,7.11,7.11
c1ccc(o1)C=O,1,24.6239,112.9,6.52,6.52
c1ccc(o1)C=O,0,23.6008,148.6,7.61,7.61
c1ccc(o1)C=O,5,21.8146,178.1,9.63,9.63
c1ccccn1,0,22.6265,149.9,8.51,8.51
c1ccccn1,1,23.8051,123.7,7.14,7.14
c1ccccn1,2,23.3803,135.7,7.55,7.55
C=CC(C)(C)C,0,26.4795,109,4.78,4.78
C=CC(C)(C)C,1,25.1609,149.8,5.8,5.8
C=CC(C)(C)C,3,30.6854,29.4,1,1
C1CCCCC1,0,30.0865,27.3,1.42,1.42
CC(C)(C)C#C,5,29.4275,66.52,1.89,1.89
CC(C)(C)C#C,2,30.3895,30.92,1.21,1.21
C1CCC=CC1,3,25.4812,127.3,5.58,5.58
C1CCC=CC1,2,29.5846,25.4,1.97,1.97
C1CCC=CC1,0,29.9444,22.9,1.62,1.62
c1ccccc1,0,23.7197,128.5,7.23,7.23
C1CCN(CC1)C,6,28.8777,46.85,2.1,2.1
C1CCN(CC1)C,2,28.7871,56.59,2.23,2.23
C1CCN(CC1)C,1,29.8348,26.01,1.42,1.42
C1CCN(CC1)C,0,29.5084,23.85,1.42,1.42
C1CCC(=O)CC1,2,29.1906,41.9,2.25,2.25
C1CCC(=O)CC1,1,29.6459,27.2,1.79,1.79
C1CCC(=O)CC1,0,29.6459,25.1,1.79,1.79
C1CC(=O)C=CC1,4,25.4464,129.8,5.88,5.88
C1CC(=O)C=CC1,5,23.9814,150.6,6.91,6.91
C1CC(=O)C=CC1,6,29.3769,25.8,2.1,2.1
C1CC(=O)C=CC1,0,29.6651,22.9,2.1,2.1
C1CC(=O)C=CC1,1,29.2621,38.2,2.1,2.1
c1ccc(cc1)F,2,23.7342,115.5,7,7
c1ccc(cc1)F,1,24.0348,130.2,7,7
c1ccc(cc1)F,0,23.9722,124.2,7,7
c1ccc(cc1)Cl,2,23.769,128.6,7.22,7.22
c1ccc(cc1)Cl,1,23.7626,129.7,7.22,7.22
c1ccc(cc1)Cl,0,23.8617,126.4,7.22,7.22
c1ccc(cc1)N(=O)=O,2,22.7059,123.5,8.2,8.2
c1ccc(cc1)N(=O)=O,1,23.315,129.5,7.57,7.57
c1ccc(cc1)N(=O)=O,0,23.5806,134.8,7.57,7.57
C1=CC(=O)C=CC1=O,0,24.5667,136.6,6.79,6.79
c1c(cccc1)C,6,29.3399,21.4,2.29,2.29
c1c(cccc1)C,0,23.8848,130,7.04,7.04
c1c(cccc1)C,5,23.8681,129.2,7.04,7.04
c1c(cccc1)C,4,24.001,126.6,7.04,7.04
C1=C[C@H]2C[C@@H]1C=C2,3,29.5427,75.2,1.96,1.96
C1=C[C@H]2C[C@@H]1C=C2,2,27.9077,50.3,3.52,3.52
C1=C[C@H]2C[C@@H]1C=C2,0,24.2757,143.2,6.69,6.69
c1c(cccc1)N(C)C,0,24.4869,112.7,6.56,6.56
c1c(cccc1)N(C)C,5,23.929,129,7.1,7.1
c1c(cccc1)N(C)C,4,24.5903,116.6,6.5,6.5
c1c(cccc1)N(C)C,7,28.8194,40.2,2.85,2.85
c12c(cccc1)cc[nH]2,7,24.0873,121.7,6.76,6.76
c12c(cccc1)cc[nH]2,6,24.7611,101.9,6.38,6.38
c12c(cccc1)cc[nH]2,5,23.9924,111.1,7.03,7.03
c12c(cccc1)cc[nH]2,4,23.6949,124.3,7.03,7.03
c12c(cccc1)cc[nH]2,3,23.8849,119.7,7.03,7.03
C(=S)=NC,3,28.332,30.48,3.325,3.325
C(=O)/C=C/C,0,21.768,194.04,9.497,9.497
C(=O)/C=C/C,2,25.2461,134.61,6.145,6.145
C(=O)/C=C/C,3,24.0582,154.32,6.88,6.88
C(=O)/C=C/C,4,29.6128,18.61,2.032,2.032
C(=C(\C)/C(C)C)\C,6,30.1361,13.21,1.56,1.56
C(=C(\C)/C(C)C)\C,0,26.1725,115.93,5.222,5.222
C(=C(\C)/C(C)C)\C,3,29.4723,36.99,2.221,2.221
C(=C(\C)/C(C)C)\C,4,30.6868,21.52,0.978,0.978
C(=C(\C)/C(C)C)\C,2,30.204,13.06,1.56,1.56
O1C(=O)C=CC1=O,3,24.2823,136.76,7.048,7.048
C1OCC=C1,0,26.7752,75.42,4.63,4.63
C1OCC=C1,3,25.3285,126.34,5.89,5.89
c1ccccn1,0,22.6264,149.94,8.593,8.593
c1ccccn1,1,23.8051,123.55,7.231,7.231
c1ccccn1,2,23.3803,135.89,7.617,7.617
c1c(nccn1)C,0,22.7272,144.85,8.568,8.568
c1c(nccn1)C,4,22.8647,141.9,8.376,8.376
c1c(nccn1)C,3,22.7393,143.9,8.453,8.453
c1c(nccn1)C,6,29.0951,21.53,2.566,2.566
C1CC(=C)C1,3,26.67,104.79,4.685,4.685
C1CC(=C)C1,1,28.7368,32.08,2.685,2.685
C1CC(=C)C1,0,29.1442,16.76,1.928,1.928
C1COCOC1,3,26.8199,94.28,4.853,4.853
C1COCOC1,1,27.8771,66.94,3.912,3.912
C1COCOC1,0,29.7371,26.64,1.78,1.78
C(C)(OC)OC,0,27.2834,101.24,4.568,4.568
C(C)(OC)OC,1,30.659,18.8,1.281,1.281
C(C)(OC)OC,3,28.5566,52.31,3.309,3.309
c1ccc(s1)C,2,24.5101,125.14,6.754,6.754
c1ccc(s1)C,1,24.4174,126.86,6.89,6.89
c1ccc(s1)C,0,24.0588,123.03,7.07,7.07
c1ccc(s1)C,5,29.1109,14.95,2.495,2.495
C(C#N)C#N,0,27.8025,8.77,3.604,3.604
C1COC(=O)O1,0,27.2351,65.05,4.541,4.541
C(C)SCC,3,28.9388,25.5,2.547,2.547
C(C)SCC,4,30.3276,14.8,1.256,1.256
C(=C\C#N)/C#N,0,24.8414,119.33,6.295,6.295
[C@H]1(CC(=O)O1)C,0,26.9807,68.12,4.704,4.704
[C@H]1(CC(=O)O1)C,5,30.1042,20.58,1.563,1.563
N(C)(C)C#N,1,28.8523,40.53,2.853,2.853
C=CC[N]C=S,1,25.1572,130.4,5.83,5.83
C=CC[N]C=S,2,27.2977,47.12,4.147,4.147
C1C(=O)O[C]1[CH2],0,27.6117,42.4,3.897,3.897
CC(C)(C)C=O,2,30.3524,23.44,1.08,1.08
CC(C)(C)C=O,4,21.7152,205.83,9.48,9.48
C=C(C=C)C,0,26.2036,113.64,4.99,4.99
C=C(C=C)C,2,24.5596,139.82,6.44,6.44
C=C(C=C)C,4,29.7191,17.85,1.85,1.85
C(=O)(C#N)OCC,5,27.3264,65.4,4.412,4.412
C(=O)(C#N)OCC,6,30.3392,13.73,1.394,1.394
[C@H]12[C@@H]3C[C@@H]4[C@H]1[C@@H]4[C@H]23,1,30.2659,14.71,1.478,1.478
[C@H]12[C@@H]3C[C@@H]4[C@H]1[C@@H]4[C@H]23,0,30.3816,22.99,1.345,1.345
